,released_year,released_month,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
475,2017,11,10,114,59,60,94,24,0,10,4
476,1958,1,1,113,73,72,32,77,0,15,5
477,2000,11,7,147,67,69,72,17,0,19,3
478,2022,11,4,100,70,92,59,3,0,10,3
479,2022,12,2,155,49,42,77,3,0,12,9
480,2021,12,3,107,54,41,39,51,0,11,16
481,2022,12,2,112,80,15,54,9,0,38,5
482,2022,10,31,166,70,57,57,9,20,11,7
483,1959,1,1,107,69,96,36,81,0,8,4
484,2022,12,9,81,47,33,68,24,0,22,38
485,2022,12,9,150,79,77,46,5,0,11,7
486,2022,10,21,110,66,19,32,69,0,12,4
487,2022,10,21,108,64,4,40,6,0,10,6
488,2022,9,28,130,89,48,74,30,0,7,36
489,2022,10,21,164,70,39,56,6,0,9,7
490,2022,5,6,114,80,42,68,2,0,66,4
491,2005,9,20,93,63,93,88,1,0,12,4
492,2021,6,25,90,87,51,69,36,0,9,8
493,2022,12,8,128,45,35,68,78,0,39,8
494,2022,5,6,97,83,47,80,2,0,24,9
495,1958,1,1,152,69,94,71,79,0,7,8
496,1957,1,1,175,51,94,34,73,0,10,5
497,2022,12,9,116,61,48,55,67,0,16,8
498,2022,12,2,80,33,51,59,76,0,44,6
499,2022,8,25,93,63,34,86,26,0,21,39
500,2021,8,13,122,70,42,54,30,0,37,5
501,2022,1,7,122,70,91,79,3,0,7,10
502,2022,1,7,135,70,60,58,4,0,16,3
503,2022,1,5,109,60,45,47,62,0,31,5
504,2022,1,7,93,65,82,74,27,0,32,5
505,2021,8,20,125,85,64,81,2,5,7,9
506,2021,11,19,206,58,83,45,36,0,11,8
507,2021,6,24,130,76,44,77,1,0,13,3
508,2022,1,7,121,80,62,51,2,0,9,8
509,2022,1,7,123,74,35,73,0,0,21,5
510,2017,6,23,122,67,50,67,15,0,30,4
511,2022,1,7,143,53,50,79,0,0,8,3
512,2021,8,6,121,70,35,77,1,0,26,4
513,2021,5,14,166,56,68,66,28,0,11,18
514,2022,1,7,135,41,27,64,36,0,60,3
515,2022,1,7,87,49,49,59,44,0,35,21
516,2021,4,9,111,77,74,66,30,0,13,3
517,2022,1,7,110,75,85,84,10,0,31,19
518,2021,6,11,130,66,19,61,30,0,9,7
519,2020,9,18,179,61,76,51,30,0,38,15
520,2019,7,26,93,74,53,73,61,0,13,4
521,2022,1,7,78,27,10,49,62,0,49,5
522,2021,11,19,180,65,37,58,2,0,4,31
523,2022,1,7,86,28,13,41,50,0,19,3
524,2021,9,17,88,74,55,85,1,0,5,22
525,2021,11,5,97,68,72,78,4,0,7,5
526,2017,12,8,134,71,59,80,13,0,36,5
527,2020,9,21,116,75,36,76,12,0,10,10
528,2021,10,5,170,64,14,70,9,0,9,8
529,2021,9,10,140,83,40,55,16,0,14,23
530,2021,11,4,118,75,46,76,3,0,9,4
531,2021,7,30,65,31,31,24,76,0,14,4
532,2021,10,22,120,56,16,67,0,0,11,4
533,2021,5,21,176,29,12,33,68,0,12,5
534,2021,9,10,180,59,69,61,84,0,46,36
535,2021,1,8,144,59,21,43,76,0,10,7
536,2021,11,30,133,82,52,61,38,0,14,27
537,2021,11,12,93,63,21,52,28,0,9,3
538,2022,1,7,122,77,25,62,34,0,23,3
539,2021,11,19,88,53,55,73,9,0,3,5
540,2022,1,5,170,70,61,44,40,0,37,4
541,2022,1,7,94,46,55,50,71,0,10,11
542,2021,11,18,170,65,46,47,12,0,13,16
543,2021,10,27,90,79,79,70,57,0,66,8
544,2021,12,1,78,40,7,29,62,0,9,3
545,2018,3,9,94,57,36,58,5,0,15,3
546,2021,10,30,73,83,11,41,0,0,36,14
547,2021,8,3,176,73,79,86,42,0,7,18
548,2020,11,2,128,81,57,63,40,1,10,4
549,2019,8,30,120,58,44,60,44,9,5,6
550,2021,11,5,82,63,85,62,6,0,35,4
551,2020,3,13,95,77,40,47,2,0,9,3
552,2022,1,7,118,44,52,94,11,0,4,29
553,2021,10,22,123,75,93,86,8,0,14,3
554,2021,3,19,90,63,49,68,38,0,42,18
555,2020,10,30,110,73,14,57,40,0,11,5
556,2021,12,29,96,66,76,82,47,0,10,32
557,2022,1,9,88,56,58,55,35,0,23,11
558,2021,9,8,98,73,60,85,17,0,24,5
559,2021,9,24,110,72,67,68,0,0,14,4
560,2020,7,17,80,70,57,49,19,0,12,8
561,2021,9,16,110,86,31,53,43,0,11,6
562,2021,5,21,110,79,70,36,0,0,6,11
563,2022,1,7,78,77,49,42,1,1,13,19
564,2021,6,24,129,83,44,62,2,0,8,6
565,2021,4,1,181,44,22,60,61,0,42,9
566,2020,8,21,114,75,74,77,1,0,9,10
567,2021,11,5,144,74,39,65,5,1,11,35
568,2019,1,11,101,66,18,68,9,0,12,4
569,2021,10,21,84,67,78,63,29,0,12,5
570,2021,7,8,154,66,63,69,21,0,11,7
571,2021,3,5,148,59,72,62,18,0,9,3
572,2021,9,3,146,85,22,37,13,0,7,30
573,2021,8,1,120,77,51,79,20,0,26,6
574,1970,1,1,110,53,75,69,7,0,17,3
575,2021,11,11,136,77,82,30,95,0,13,5
576,2021,11,19,141,59,56,63,12,0,6,36
577,2022,1,7,108,46,23,48,75,30,14,4
578,2021,11,19,94,42,47,36,76,0,9,5
579,2015,5,10,180,35,41,94,0,63,5,5
580,2021,9,1,122,77,51,79,5,0,16,5
581,2015,10,30,85,59,33,52,7,15,12,3
582,2022,1,7,148,68,29,73,0,0,7,7
583,2021,12,1,120,83,59,73,6,0,5,11
584,2020,7,24,91,70,76,72,22,0,27,4
585,2021,11,19,120,72,54,71,26,0,10,4
586,2021,11,17,106,86,86,79,11,0,8,9
587,2022,1,7,110,63,31,35,93,0,29,3
588,2021,5,21,169,39,36,45,81,0,8,13
589,2021,8,29,118,80,21,55,1,0,26,17
590,2021,6,25,92,91,79,66,32,0,9,16
591,2019,11,1,112,45,19,60,63,0,9,6
592,2020,12,25,140,79,56,91,26,0,13,21
593,2010,11,29,105,73,52,76,13,0,5,3
594,2021,7,8,178,76,63,77,14,0,15,22
595,2021,12,23,108,96,71,42,57,0,8,9
596,2021,5,21,173,40,19,29,86,0,34,4
597,2021,5,7,101,67,40,90,3,0,34,6
598,2020,1,1,120,80,24,62,41,2,11,23
599,2020,10,23,144,73,66,80,44,0,9,12
600,2021,3,19,133,75,96,61,0,0,18,4
601,2021,10,22,158,46,62,83,53,0,97,28
602,2021,10,1,120,81,92,90,9,0,8,7
603,2020,2,21,129,61,59,46,56,0,13,5
604,2016,11,18,102,74,45,89,5,0,26,13
605,2021,8,13,124,79,79,84,2,0,5,5
606,2016,4,20,90,73,31,45,85,24,11,3
607,2021,4,14,161,78,65,52,46,0,12,31
608,2017,3,30,120,60,11,33,90,0,8,5
609,2021,7,28,81,45,12,57,7,0,23,3
610,2019,1,1,150,78,47,70,18,0,15,9
611,2021,9,2,105,76,58,84,10,0,13,10
612,2021,8,10,79,63,76,67,38,0,6,4
613,2010,10,4,146,52,7,61,51,0,11,3
614,2020,4,17,124,64,8,37,79,0,9,5
615,2014,1,1,126,53,66,85,2,0,24,4
616,2021,8,6,121,75,53,74,2,0,11,5
617,2021,9,3,136,80,33,60,0,0,32,14
618,2021,6,25,102,77,26,63,58,0,11,5
619,2021,10,27,77,73,54,74,23,0,41,23
620,2019,5,10,98,82,54,59,69,0,18,10
621,2017,6,15,84,44,22,48,38,0,33,24
622,2021,1,28,102,89,77,82,3,0,17,11
623,2013,8,1,120,42,33,26,92,0,13,3
624,1991,9,10,117,52,73,91,0,0,11,7
625,2019,3,7,72,45,27,33,82,0,14,4
626,2021,9,3,168,67,29,47,5,0,22,26
627,2021,11,11,94,52,68,69,13,0,33,8
628,2022,1,10,145,41,65,88,0,0,26,5
629,2021,8,27,134,71,14,61,1,0,23,33
630,2003,9,23,148,35,24,93,0,0,10,8
631,2022,1,10,127,60,40,89,9,0,60,6
632,2021,6,24,172,74,79,66,11,0,8,16
633,2019,11,7,90,75,19,46,21,4,34,8
634,2018,9,27,96,57,30,40,38,0,26,3
635,2022,1,10,138,74,65,67,46,0,36,4
636,2021,4,28,120,72,67,72,0,0,13,4
637,2021,7,9,125,70,65,74,1,0,34,4
638,2021,1,15,123,82,80,86,1,0,30,13
639,2021,4,9,81,79,44,54,41,0,13,24
640,2002,5,26,171,55,10,85,7,0,8,20
641,2019,9,20,91,77,60,32,84,0,8,5
642,2021,8,12,84,56,61,76,10,0,14,11
643,2022,1,7,115,90,74,54,16,0,13,28
644,2021,12,29,125,69,70,89,4,0,49,3
645,2021,10,14,122,80,62,69,28,0,13,7
646,2021,4,29,92,85,92,54,16,0,29,7
647,2021,11,18,90,63,75,75,17,0,11,8
648,2022,2,10,94,84,90,70,9,0,14,8
649,1999,1,1,93,81,53,78,18,0,6,24
650,2022,2,11,130,51,50,76,30,0,10,7
651,2022,2,11,180,35,23,61,23,0,19,6
652,2022,2,11,134,53,31,31,92,0,28,3
653,1999,1,1,95,92,31,89,3,0,8,25
654,2022,1,19,184,69,91,63,11,0,9,31
655,2022,2,11,147,47,50,80,10,0,32,38
656,2022,2,2,123,52,44,60,40,0,26,3
657,2012,1,1,123,91,49,61,3,0,17,22
658,2002,1,1,90,90,79,71,26,0,7,37
659,2022,2,4,160,61,65,64,1,0,12,4
660,2013,8,16,115,60,37,71,8,0,48,4
661,2019,8,4,141,37,17,67,2,0,34,9
662,2016,8,5,160,31,30,88,7,0,8,8
663,2019,10,4,145,57,23,66,4,6,15,4
664,2019,6,21,89,46,43,43,23,8,8,22
665,2020,7,24,95,84,49,72,8,0,15,8
666,2021,12,10,160,60,47,62,3,0,38,4
667,2022,1,14,174,67,74,75,44,0,7,30
668,1995,12,28,92,77,76,84,3,0,38,4
669,1999,1,1,134,93,61,74,9,0,17,8
670,2021,11,19,172,31,4,86,1,0,28,17
671,2021,12,17,80,76,92,62,6,0,8,13
672,2017,3,30,150,91,42,60,0,0,9,12
673,1999,11,21,80,78,53,74,4,0,45,21
674,2020,1,16,166,81,83,75,14,0,29,34
675,2017,10,4,120,67,8,54,27,0,8,4
676,2020,2,29,92,86,89,79,17,0,11,6
677,2022,1,28,85,74,61,52,30,0,26,9
678,2022,1,15,154,79,86,52,66,0,9,7
679,2021,10,22,92,73,37,74,28,0,14,6
680,2022,2,11,140,89,75,70,6,0,13,5
681,2022,2,11,89,65,60,60,11,0,10,40
682,2022,1,28,135,89,89,86,16,0,8,5
683,2021,11,19,140,51,66,53,60,0,11,18
684,2015,7,24,82,47,44,76,8,91,9,3
685,2014,1,1,79,78,58,45,47,0,18,3
686,2019,10,4,88,31,31,63,47,27,21,12
687,2021,12,24,139,44,18,38,70,0,12,4
688,2022,1,14,124,73,68,83,55,0,90,7
689,2019,10,4,80,39,45,55,73,0,9,21
690,2022,2,4,120,84,54,51,47,0,12,40
691,2019,10,4,80,56,19,46,92,72,11,3
692,2022,2,4,117,92,62,86,11,0,24,24
693,2019,6,19,117,76,77,52,4,0,8,3
694,2019,5,16,140,62,46,73,10,0,67,11
695,2019,12,6,99,68,57,77,2,0,10,5
696,2020,2,29,93,74,59,87,3,0,8,5
697,1991,9,24,106,44,8,20,74,42,11,3
698,2022,3,11,124,81,68,63,17,0,10,22
699,2022,3,4,95,76,96,70,18,0,33,4
700,2022,1,21,96,87,82,53,10,0,5,8
701,2021,11,11,92,81,40,73,15,0,9,8
702,2022,3,3,124,95,36,37,35,0,10,28
703,2022,3,3,72,64,76,44,70,9,12,4
704,2022,2,4,71,28,26,20,19,0,30,3
705,2022,2,1,135,78,55,57,4,0,10,8
706,2004,5,4,95,81,56,70,4,0,5,24
707,2022,3,3,71,59,70,74,56,0,11,40
708,2021,4,30,180,80,71,68,6,0,10,37
709,2022,2,18,150,65,11,58,0,0,12,9
710,2022,2,18,189,55,86,44,40,0,7,4
711,2022,2,15,85,72,55,64,49,0,7,4
712,2022,2,18,140,59,73,45,44,0,34,3
713,2013,7,16,81,77,68,70,6,0,17,20
714,2022,2,25,104,80,24,65,2,0,9,4
715,2021,9,3,129,42,33,44,62,0,8,6
716,2020,2,29,94,76,81,80,20,0,25,4
717,1975,10,31,71,41,23,40,27,0,30,5
718,2018,3,16,146,59,23,46,66,0,15,6
719,2020,3,27,103,69,90,88,5,0,29,8
720,2013,1,1,124,53,66,78,0,0,16,5
721,2021,5,21,164,70,71,58,24,0,7,13
722,2021,9,10,138,69,35,57,12,0,10,9
723,2020,10,8,126,67,37,46,13,0,10,39
724,2017,2,22,103,61,47,65,3,0,17,4
725,2016,5,31,95,75,64,52,41,0,11,3
726,2022,2,22,200,39,28,77,4,0,6,29
727,2011,1,1,129,86,75,52,54,0,10,4
728,2019,6,28,98,68,33,43,38,0,36,14
729,2022,4,8,107,91,32,56,3,0,11,10
730,2022,3,23,174,58,56,83,5,0,7,4
731,2022,2,17,92,45,27,67,32,0,13,14
732,2022,3,25,90,81,59,83,9,0,11,5
733,2022,3,31,147,60,58,69,2,0,58,4
734,2022,4,1,143,68,41,55,16,0,10,12
735,2015,1,11,101,76,63,71,3,0,10,3
736,2022,4,5,118,70,54,71,0,0,33,4
737,2022,3,18,98,83,63,74,14,0,16,6
738,2022,4,6,138,72,22,46,24,0,9,6
739,2015,1,1,114,59,30,62,1,0,8,4
740,2022,4,7,180,63,45,64,34,0,9,8
741,2021,9,9,145,56,41,57,1,0,13,3
742,2022,1,30,115,78,63,64,1,0,7,4
743,2022,3,31,82,79,48,84,13,0,21,23
744,2022,4,8,166,70,22,61,2,0,10,34
745,2022,3,30,92,86,91,79,29,0,60,16
746,2022,4,8,108,71,55,44,74,0,11,6
747,2022,3,25,84,71,63,45,45,0,11,3
748,2022,3,25,95,69,90,91,6,0,35,4
749,2022,3,17,135,93,77,45,25,0,13,27
750,2019,12,13,110,57,6,27,84,0,9,3
751,1996,11,24,88,89,59,64,5,0,19,7
752,2022,3,30,119,87,28,50,12,0,10,10
753,2022,3,18,120,58,71,80,15,0,7,41
754,2016,9,23,122,86,97,80,36,0,9,6
755,2022,3,18,98,78,83,75,41,0,27,8
756,2019,12,13,140,45,25,84,21,0,13,6
757,2013,1,1,116,79,87,81,4,0,10,4
758,2021,6,25,124,86,62,49,51,0,35,21
759,2022,2,25,105,91,73,72,13,0,9,15
760,2022,4,5,118,68,24,58,44,0,6,3
761,2014,6,20,108,61,20,38,61,0,10,5
762,2015,11,9,100,61,53,38,84,0,28,44
763,2022,5,13,140,81,39,66,38,0,12,14
764,2022,4,14,109,84,72,74,10,0,34,7
765,2022,5,13,101,78,40,74,36,0,17,27
766,2022,5,6,78,56,61,90,36,0,18,31
767,2022,5,6,93,79,22,55,31,0,12,5
768,2022,5,13,87,52,32,83,24,0,17,43
769,2022,5,13,153,55,50,78,19,0,11,35
770,2022,5,6,142,87,93,59,28,0,17,5
771,2022,5,13,96,85,41,43,39,0,12,21
772,2022,5,12,125,50,39,78,4,0,11,33
773,2022,5,6,85,71,43,65,23,0,9,5
774,2022,5,13,140,92,78,57,46,0,14,9
775,2022,5,6,196,66,58,79,23,0,22,20
776,2022,5,13,134,78,51,43,69,0,14,9
777,2022,5,6,103,80,45,62,76,0,10,38
778,2022,5,6,130,82,50,67,12,0,13,5
779,2022,5,13,108,65,52,69,31,0,8,36
780,2022,5,13,123,61,66,71,53,0,32,46
781,2022,5,6,152,84,74,69,21,0,18,6
782,2022,5,6,108,78,55,60,59,0,7,4
783,2022,5,13,72,56,56,47,76,0,8,36
784,2022,5,6,121,86,67,65,42,0,35,7
785,2022,5,13,138,57,71,82,19,0,15,29
786,2022,5,6,188,50,41,50,69,0,12,6
787,2022,2,14,110,80,26,85,23,0,11,21
788,2022,5,6,105,81,77,79,19,0,47,8
789,2022,5,6,118,63,60,70,5,0,9,31
790,2019,5,31,176,61,24,62,60,0,24,31
791,2022,5,6,158,83,41,65,0,10,11,8
792,2022,5,6,115,85,72,58,9,0,49,12
793,2016,1,15,110,51,48,82,0,0,5,3
794,2022,5,13,174,73,26,54,30,0,34,32
795,2022,4,29,130,91,91,96,3,0,3,9
796,2022,4,29,78,36,30,54,34,0,14,5
797,2022,5,13,104,44,74,42,88,0,9,9
798,2022,5,13,121,64,80,88,0,0,12,6
799,2022,3,10,105,83,32,82,14,0,12,4
800,2022,4,22,81,38,20,66,9,0,9,8
801,2022,5,13,170,37,14,24,80,0,11,4
802,2022,5,13,78,43,60,38,76,1,48,38
803,2022,4,29,125,88,28,66,6,0,13,31
804,2022,5,13,92,66,29,65,23,0,8,7
805,2022,4,22,140,84,61,42,31,0,9,9
806,2022,4,25,96,61,32,90,25,0,10,9
807,2022,5,13,118,66,83,43,84,0,19,19
808,2022,2,6,92,71,67,60,7,0,6,4
809,2022,5,13,140,49,50,37,87,0,11,35
810,2022,4,1,174,68,45,71,18,0,11,25
811,2022,1,26,127,77,53,78,19,0,29,4
812,2022,5,6,96,71,37,52,62,0,11,36
813,2022,4,29,150,82,82,66,13,0,11,6
814,2022,4,13,100,87,46,60,1,0,13,16
815,2021,12,24,105,73,59,81,13,0,9,6
816,2022,5,2,104,86,43,62,5,0,13,14
817,2022,3,23,154,54,45,79,1,0,17,5
818,2022,2,22,80,47,33,83,18,0,10,5
819,2022,4,24,150,53,14,43,64,0,13,3
820,1998,3,31,156,32,49,72,0,0,9,4
821,2022,5,8,98,76,79,81,18,0,6,34
822,2019,11,7,92,58,27,36,86,0,9,3
823,2022,5,6,144,47,7,50,32,0,7,4
824,2017,10,20,150,37,27,56,8,0,13,3
825,2021,8,9,138,70,31,44,84,0,9,39
826,2022,6,10,172,56,68,89,4,0,33,19
827,2022,6,10,77,72,70,82,2,0,4,17
828,2022,5,20,107,72,36,72,26,6,11,4
829,2022,5,20,114,51,39,29,90,0,10,4
830,2022,6,10,117,63,29,51,43,0,25,4
831,2022,5,20,146,69,63,45,48,0,18,4
832,2022,5,6,160,80,74,60,8,0,14,26
833,2022,6,10,120,88,15,56,1,0,8,6
834,2022,5,27,100,82,76,70,16,0,8,5
835,2022,6,10,158,60,68,84,4,0,24,11
836,2022,5,20,142,56,40,54,72,0,10,4
837,2022,5,20,170,80,77,85,11,0,17,14
838,2022,5,27,84,71,39,86,2,0,51,25
839,2022,5,20,139,58,30,46,14,0,9,3
840,1982,1,1,151,73,88,67,20,0,32,5
841,2022,6,8,128,82,42,75,6,0,63,6
842,2022,5,20,118,56,20,54,67,0,6,5
843,2022,5,20,183,65,88,72,36,14,20,3
844,2022,6,9,83,63,29,62,4,0,18,4
845,2022,2,18,122,85,42,80,6,0,17,14
846,2022,5,20,165,72,90,48,32,0,18,23
847,2022,5,20,106,83,90,64,35,5,9,4
848,2022,5,25,77,81,68,58,83,0,11,34
849,2014,1,1,91,57,30,89,10,0,33,8
850,2022,5,3,148,51,21,63,5,0,41,3
851,2022,5,20,114,71,90,81,31,2,13,3
852,2022,6,10,120,91,63,77,12,1,10,5
853,2022,6,2,92,83,56,82,10,0,9,5
854,2016,11,10,118,56,25,45,1,3,7,3
855,2022,3,18,123,60,46,71,3,0,16,4
856,2018,9,12,89,52,28,48,54,1,19,3
857,2022,6,2,110,81,61,93,49,0,12,11
858,2022,5,20,118,42,32,20,94,0,11,4
859,2021,5,15,90,68,54,76,21,0,11,20
860,2022,5,13,130,49,14,40,82,0,11,3
861,2022,5,13,154,70,97,62,47,0,10,4
862,1986,3,3,105,54,59,83,0,44,20,4
863,2022,6,21,115,70,87,88,4,0,26,8
864,2022,6,16,110,91,59,82,8,0,6,8
865,2022,6,17,125,51,5,68,12,2,15,6
866,2022,6,10,102,73,62,75,0,0,34,8
867,2022,2,6,120,81,72,65,4,0,14,4
868,2022,6,24,97,80,36,86,4,0,3,5
869,2022,3,24,140,44,41,92,0,0,44,7
870,2022,7,1,97,78,31,72,1,0,11,4
871,1987,1,1,125,45,67,90,9,11,10,5
872,2022,5,12,88,80,55,56,13,0,8,9
873,2022,3,19,170,56,52,64,11,0,45,7
874,2022,6,17,137,88,8,49,9,0,9,14
875,2022,7,1,157,88,52,69,0,0,8,23
876,2022,6,3,130,95,83,57,54,0,10,25
877,2022,7,6,90,85,80,83,10,0,8,11
878,2022,6,24,183,44,44,67,7,0,12,13
879,2022,5,2,128,58,68,91,2,0,27,11
880,2022,6,10,130,71,78,40,46,0,7,45
881,2022,8,4,126,63,56,43,24,0,12,23
882,2022,8,5,120,77,94,87,2,0,23,12
883,2022,8,5,130,72,18,46,7,0,28,8
884,2020,12,18,122,70,46,76,30,0,9,45
885,2022,8,5,172,74,46,58,15,0,13,8
886,2022,7,20,103,61,38,62,14,0,23,40
887,2022,7,29,122,55,46,64,0,0,17,10
888,2019,9,13,130,47,56,90,0,0,10,4
889,2022,8,1,105,81,70,65,24,0,8,4
890,2022,3,11,120,90,73,51,39,0,9,6
891,2022,7,12,145,56,43,53,24,0,12,4
892,2022,7,22,99,79,64,59,28,0,11,14
893,2008,1,1,88,79,66,65,5,0,25,14
894,2022,7,15,126,81,90,73,28,0,29,4
895,2022,8,15,136,77,71,75,33,1,13,4
896,2022,2,18,113,70,97,59,55,0,27,12
897,2022,6,16,132,82,49,88,20,0,21,3
898,2022,5,20,135,77,74,74,47,0,34,8
899,2017,11,10,126,67,49,77,11,0,19,11
900,2022,9,9,102,67,72,74,30,0,36,4
901,2022,8,22,125,68,80,92,10,0,9,12
902,2013,1,1,149,37,28,66,14,0,9,5
903,2022,6,15,137,74,71,89,24,61,15,5
904,2022,8,26,120,77,78,91,14,0,33,12
905,2022,1,20,100,90,75,50,11,0,9,26
906,2022,6,3,164,70,58,57,25,0,15,7
907,2022,6,10,93,65,79,66,31,0,22,7
908,2022,9,13,180,65,52,80,5,0,6,25
909,2022,7,15,79,34,22,31,43,63,10,7
910,2002,8,5,146,56,21,44,73,0,11,2
911,2000,7,10,103,37,17,27,75,5,10,3
912,2022,9,2,140,70,26,76,8,0,54,23
913,2022,9,13,92,81,48,70,13,0,15,7
914,2016,6,23,102,64,4,60,11,0,19,4
915,2022,7,22,118,82,75,85,33,1,11,4
916,2022,9,13,93,78,75,62,6,0,15,6
917,2022,6,23,150,70,26,56,14,83,11,5
918,2022,10,7,130,52,24,60,0,0,8,3
919,2022,10,14,83,65,24,53,6,0,51,4
920,2022,8,18,102,84,43,75,5,0,6,8
921,2022,10,17,136,73,65,91,4,0,48,18
922,1982,5,16,145,66,24,58,17,0,19,5
923,2018,11,21,130,57,24,37,11,18,16,3
924,2022,7,14,156,72,92,77,9,0,8,11
925,2022,9,29,123,57,50,85,5,0,16,4
926,2022,9,16,132,92,53,62,7,0,63,10
927,2020,12,18,125,49,13,74,0,0,9,4
928,2022,10,14,162,74,22,67,0,0,11,46
929,2022,9,22,138,80,82,81,14,0,13,36
930,2022,7,1,161,59,62,60,12,0,5,44
931,2022,11,4,131,91,23,55,1,0,7,32
932,2022,11,4,122,75,45,63,6,0,35,12
933,2022,10,21,80,80,16,28,17,0,12,39
934,2022,10,21,109,75,11,50,20,0,30,17
935,2022,11,4,158,84,33,36,2,0,39,59
936,2022,10,21,126,66,12,35,55,0,9,14
937,2022,11,4,104,73,25,61,1,0,32,7
938,2022,10,21,110,48,15,31,80,22,12,4
939,2022,11,4,130,77,20,70,1,0,16,5
940,2022,10,21,177,34,39,16,97,0,12,5
941,2022,10,21,158,48,55,84,43,0,15,12
942,2022,11,4,114,62,25,44,51,33,14,3
943,2022,11,4,144,93,62,61,0,0,12,20
944,2022,10,28,125,54,22,76,0,0,14,3
945,2022,11,4,142,85,40,43,4,0,39,32
946,2022,11,4,120,64,11,53,1,0,25,27
947,2022,10,21,96,57,55,74,22,0,8,4
948,2022,11,3,144,60,24,39,57,0,8,3
949,2022,10,21,166,42,7,24,83,1,12,6
950,2022,11,3,92,80,81,67,4,0,8,6
951,2022,10,20,97,82,67,77,8,0,12,5
952,2022,11,4,90,61,32,67,15,0,11,5
